Total CGPA,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour?,Management or Technical,worked in teams ever?,Introvert
7.366666666666667,9,2,6,9,no,yes,app development,poor,medium,IOT,Business process analyst,job,Service Based,no,Encyclopedias,Work,stubborn,Technical,no,yes
7.611111111111112,3,3,9,7,yes,no,app development,excellent,excellent,programming,cloud computing,higherstudies,BPA,no,Trilogy,salary,gentle,Technical,yes,yes
7.977777777777777,4,2,3,9,no,yes,distro making,medium,medium,hacking,testing,higherstudies,product development,yes,Self help,Work,gentle,Technical,yes,yes
7.4,6,3,5,1,no,yes,information security,poor,poor,cloud computing,Business process analyst,higherstudies,Web Services,no,Self help,salary,gentle,Management,yes,no
7.522222222222223,4,1,4,1,no,yes,hadoop,poor,medium,programming,cloud computing,higherstudies,Sales and Marketing,yes,Anthology,salary,gentle,Technical,yes,yes
8.188888888888888,4,3,2,7,yes,yes,distro making,poor,medium,IOT,testing,higherstudies,Cloud Services,no,Childrens,Work,gentle,Technical,no,no
7.7444444444444445,6,4,9,6,no,no,distro making,excellent,excellent,Management,testing,higherstudies,Testing and Maintainance Services,yes,Series,Work,gentle,Technical,yes,no
7.555555555555555,6,4,7,6,no,no,full stack,poor,excellent,programming,system developer,higherstudies,SAaS services,no,Drama,Work,gentle,Management,yes,yes
7.011111111111111,1,3,5,6,no,yes,full stack,excellent,medium,parallel computing,Business process analyst,higherstudies,Cloud Services,no,Science fiction,salary,gentle,Technical,yes,yes
7.455555555555556,2,6,4,6,yes,no,hadoop,medium,medium,parallel computing,system developer,job,BPA,yes,Drama,Work,gentle,Management,no,yes
7.522222222222223,3,6,3,2,yes,no,r programming,poor,excellent,cloud computing,testing,higherstudies,SAaS services,yes,Journals,Work,gentle,Technical,no,yes
7.6,4,0,4,3,no,no,shell programming,medium,medium,IOT,system developer,job,SAaS services,yes,Satire,Work,stubborn,Technical,yes,no
7.344444444444444,7,3,8,9,yes,no,python,medium,medium,cloud computing,testing,job,BPA,yes,Health,salary,gentle,Technical,yes,no
8.455555555555556,4,2,1,1,no,no,full stack,poor,excellent,Software Engineering,testing,job,Web Services,no,Autobiographies,Work,stubborn,Technical,yes,no
7.966666666666667,4,6,4,1,yes,yes,information security,medium,poor,IOT,cloud computing,higherstudies,Web Services,no,Biographies,Work,gentle,Technical,yes,yes
7.477777777777777,6,3,9,2,no,no,hadoop,medium,medium,programming,system developer,higherstudies,BPA,yes,Horror,salary,gentle,Technical,yes,no
8.055555555555555,3,1,2,4,no,no,full stack,medium,poor,networks,testing,job,product development,yes,Math,Work,stubborn,Management,no,yes
7.822222222222223,1,4,6,4,yes,no,r programming,poor,poor,Computer Architecture,developer,job,product development,yes,Science,salary,stubborn,Technical,no,no
8.222222222222223,7,0,6,9,no,yes,full stack,medium,excellent,Management,developer,higherstudies,Sales and Marketing,no,Self help,Work,gentle,Management,no,no
8.11111111111111,5,2,2,8,no,no,shell programming,excellent,poor,parallel computing,cloud computing,job,Finance,yes,Self help,salary,stubborn,Management,no,yes
7.688888888888888,6,5,8,9,no,yes,app development,excellent,medium,parallel computing,cloud computing,job,Finance,yes,Diaries,Work,stubborn,Technical,yes,no
8.122222222222224,1,4,3,3,no,no,shell programming,excellent,poor,Software Engineering,developer,job,Finance,yes,Cookbooks,salary,stubborn,Technical,yes,yes
7.855555555555556,9,4,9,4,no,no,hadoop,medium,poor,data engineering,testing,job,SAaS services,no,Dictionaries,salary,stubborn,Technical,no,yes
7.7,7,4,4,6,yes,no,full stack,medium,excellent,networks,developer,higherstudies,product development,no,Self help,salary,stubborn,Management,no,no
7.8,8,2,2,5,no,no,app development,poor,poor,networks,testing,higherstudies,Sales and Marketing,no,Romance,salary,gentle,Management,yes,no
7.4,9,6,8,3,no,yes,python,poor,poor,programming,system developer,higherstudies,BPA,yes,Prayer books,salary,gentle,Management,no,yes
7.555555555555555,2,5,3,3,yes,yes,full stack,poor,medium,parallel computing,security,higherstudies,product development,no,Self help,salary,gentle,Technical,no,no
7.7,7,6,3,2,no,no,python,poor,excellent,Software Engineering,security,job,Web Services,no,Biographies,salary,gentle,Technical,no,no
7.822222222222223,5,1,1,9,yes,yes,r programming,medium,excellent,IOT,Business process analyst,higherstudies,product development,no,Autobiographies,salary,gentle,Technical,yes,no
7.877777777777777,9,4,3,5,no,no,app development,poor,excellent,Computer Architecture,cloud computing,higherstudies,Web Services,yes,Religion-Spirituality,salary,stubborn,Management,yes,yes
7.366666666666667,6,4,1,1,yes,no,hadoop,poor,medium,hacking,system developer,higherstudies,SAaS services,yes,Fantasy,salary,gentle,Technical,no,no
7.4222222222222225,5,5,2,6,no,no,hadoop,medium,excellent,cloud computing,testing,job,Service Based,yes,Drama,salary,gentle,Management,no,no
7.988888888888889,7,5,6,7,yes,yes,app development,poor,excellent,IOT,developer,job,Testing and Maintainance Services,yes,Math,salary,gentle,Technical,yes,yes
7.833333333333333,5,2,7,9,no,yes,app development,excellent,medium,Management,developer,job,Web Services,yes,Diaries,Work,stubborn,Management,yes,no
7.444444444444445,7,4,2,9,yes,yes,information security,poor,medium,Management,developer,job,SAaS services,no,Guide,salary,gentle,Management,no,yes
8.355555555555556,3,2,5,2,yes,yes,full stack,poor,poor,Management,developer,job,SAaS services,yes,Science,Work,stubborn,Technical,yes,yes
7.855555555555556,5,5,4,2,no,no,shell programming,medium,excellent,programming,testing,job,Product based,no,Comics,salary,gentle,Technical,no,yes
7.566666666666667,5,5,1,3,no,yes,app development,excellent,medium,programming,testing,higherstudies,Product based,yes,Horror,Work,gentle,Technical,no,yes
7.4222222222222225,5,1,9,2,no,no,information security,excellent,medium,cloud computing,security,higherstudies,Testing and Maintainance Services,no,History,salary,gentle,Technical,yes,yes
7.888888888888888,1,4,3,5,yes,yes,shell programming,medium,poor,networks,security,job,SAaS services,yes,Journals,Work,gentle,Technical,no,yes
7.666666666666667,4,5,9,1,no,no,python,poor,medium,parallel computing,system developer,higherstudies,BPA,yes,Mystery,salary,stubborn,Management,yes,no
7.633333333333333,4,3,1,2,no,yes,machine learning,medium,poor,networks,developer,job,SAaS services,yes,Journals,salary,stubborn,Technical,yes,yes
7.9,2,2,2,6,yes,yes,machine learning,poor,poor,IOT,cloud computing,higherstudies,Cloud Services,yes,Childrens,salary,gentle,Management,no,yes
7.466666666666667,2,5,3,1,yes,no,distro making,excellent,excellent,hacking,system developer,job,Service Based,yes,Health,Work,gentle,Management,no,no
7.777777777777777,5,4,9,2,yes,yes,r programming,medium,poor,networks,Business process analyst,job,Cloud Services,no,Anthology,salary,gentle,Technical,no,no
7.433333333333333,3,2,4,4,yes,yes,app development,excellent,poor,programming,Business process analyst,job,Service Based,yes,Guide,salary,stubborn,Management,no,yes
8.322222222222223,6,5,6,3,no,yes,distro making,poor,poor,cloud computing,security,higherstudies,Sales and Marketing,yes,Satire,salary,stubborn,Technical,no,no
7.7555555555555555,5,5,8,9,yes,yes,python,poor,medium,Software Engineering,security,job,Testing and Maintainance Services,no,Art,salary,stubborn,Management,no,yes
7.555555555555555,3,2,4,4,yes,no,python,medium,medium,IOT,security,job,product development,yes,Science,Work,gentle,Management,yes,no
7.022222222222223,1,4,7,6,yes,no,hadoop,excellent,poor,Computer Architecture,cloud computing,higherstudies,product development,yes,Biographies,Work,stubborn,Technical,yes,yes
7.177777777777777,9,5,3,5,yes,no,app development,excellent,poor,programming,testing,job,Cloud Services,no,Prayer books,salary,stubborn,Technical,yes,no
7.7444444444444445,1,3,8,3,yes,no,r programming,medium,medium,Computer Architecture,system developer,higherstudies,Web Services,no,Comics,Work,stubborn,Technical,yes,yes
7.677777777777777,7,3,8,9,no,yes,app development,poor,excellent,Software Engineering,developer,job,Service Based,yes,Trilogy,Work,gentle,Management,no,no
8.122222222222224,6,3,4,7,yes,no,hadoop,medium,poor,hacking,testing,higherstudies,product development,no,Dictionaries,salary,gentle,Technical,no,no
7.788888888888889,5,4,6,1,no,yes,shell programming,medium,poor,Computer Architecture,testing,higherstudies,Sales and Marketing,no,Health,Work,stubborn,Management,no,no
7.5777777777777775,5,2,8,5,no,no,app development,medium,medium,cloud computing,cloud computing,higherstudies,Sales and Marketing,no,Horror,salary,stubborn,Technical,no,no
7.7444444444444445,5,0,1,9,no,yes,distro making,poor,excellent,data engineering,developer,higherstudies,BPA,no,Travel,Work,gentle,Technical,yes,yes
7.588888888888889,8,0,7,3,no,yes,distro making,poor,poor,data engineering,cloud computing,job,SAaS services,no,Horror,salary,stubborn,Technical,no,no
8.177777777777777,6,0,7,5,no,no,r programming,poor,medium,hacking,testing,job,BPA,no,Health,salary,gentle,Technical,no,yes
7.933333333333333,1,0,5,7,yes,yes,r programming,excellent,poor,cloud computing,system developer,higherstudies,BPA,no,Satire,Work,gentle,Management,yes,no
7.966666666666667,9,6,7,7,yes,no,machine learning,excellent,medium,parallel computing,system developer,higherstudies,SAaS services,no,Series,salary,gentle,Management,no,yes
7.9,2,1,8,1,yes,no,shell programming,poor,medium,cloud computing,Business process analyst,job,Sales and Marketing,yes,Action and Adventure,salary,stubborn,Technical,yes,no
7.0777777777777775,8,4,8,2,no,yes,r programming,poor,excellent,Computer Architecture,security,job,Product based,no,Comics,Work,gentle,Technical,no,yes
7.388888888888888,6,5,9,9,no,yes,hadoop,excellent,excellent,data engineering,system developer,higherstudies,BPA,no,Autobiographies,salary,gentle,Management,yes,no
7.7555555555555555,4,0,7,4,yes,yes,full stack,excellent,medium,cloud computing,Business process analyst,higherstudies,product development,yes,Self help,salary,stubborn,Management,no,yes
8.311111111111112,2,2,1,7,yes,no,python,poor,medium,Software Engineering,system developer,higherstudies,BPA,yes,Science fiction,Work,stubborn,Technical,no,yes
7.088888888888889,4,3,3,7,yes,yes,hadoop,medium,medium,hacking,security,higherstudies,Cloud Services,no,Drama,salary,stubborn,Management,no,yes
7.688888888888888,9,1,5,2,no,yes,r programming,excellent,excellent,networks,testing,job,Sales and Marketing,yes,Fantasy,Work,stubborn,Management,no,yes
8.211111111111112,8,6,9,9,yes,no,machine learning,excellent,medium,networks,system developer,job,Sales and Marketing,no,Drama,salary,stubborn,Technical,no,yes
7.4,8,5,4,7,yes,no,full stack,excellent,poor,networks,cloud computing,job,SAaS services,yes,Romance,Work,gentle,Management,yes,yes
7.866666666666667,9,6,1,2,yes,no,distro making,medium,medium,Software Engineering,developer,higherstudies,product development,yes,Series,salary,stubborn,Management,no,yes
7.777777777777777,7,0,9,7,yes,no,shell programming,excellent,poor,parallel computing,security,job,Sales and Marketing,no,Religion-Spirituality,Work,gentle,Technical,yes,yes
7.566666666666667,7,1,7,2,no,yes,app development,poor,poor,IOT,developer,job,Sales and Marketing,yes,Biographies,Work,gentle,Technical,no,yes
7.911111111111111,5,2,5,7,no,no,distro making,poor,poor,cloud computing,cloud computing,job,Web Services,yes,Poetry,salary,gentle,Technical,no,yes
7.833333333333333,9,1,7,4,no,no,python,excellent,medium,data engineering,developer,higherstudies,Service Based,no,Diaries,salary,gentle,Technical,yes,yes
8.088888888888889,9,6,6,6,no,yes,shell programming,excellent,medium,parallel computing,testing,job,Cloud Services,no,Math,Work,stubborn,Management,yes,yes
7.211111111111111,8,4,3,5,no,yes,app development,poor,excellent,networks,developer,higherstudies,Web Services,yes,Poetry,salary,gentle,Management,yes,no
7.288888888888889,7,0,6,5,yes,no,shell programming,poor,poor,cloud computing,testing,higherstudies,Testing and Maintainance Services,no,Guide,Work,stubborn,Technical,yes,no
8.133333333333333,9,2,5,9,no,yes,app development,poor,medium,networks,developer,higherstudies,SAaS services,yes,Prayer books,Work,gentle,Technical,yes,yes
8.322222222222223,3,0,2,6,yes,yes,app development,poor,medium,IOT,testing,job,Testing and Maintainance Services,yes,Science fiction,Work,stubborn,Technical,yes,no
7.555555555555555,1,6,2,4,no,no,app development,excellent,excellent,data engineering,cloud computing,higherstudies,Web Services,no,Art,salary,stubborn,Technical,yes,no
7.322222222222223,4,0,9,8,no,yes,distro making,medium,excellent,data engineering,cloud computing,higherstudies,Finance,yes,Poetry,salary,stubborn,Management,no,no
7.344444444444444,6,0,2,6,no,no,r programming,poor,poor,cloud computing,security,job,Testing and Maintainance Services,no,Diaries,Work,gentle,Technical,no,no
7.777777777777777,9,5,4,3,yes,no,app development,medium,poor,data engineering,system developer,job,Web Services,no,Religion-Spirituality,salary,gentle,Management,yes,no
7.522222222222223,8,5,6,8,yes,no,distro making,excellent,poor,programming,testing,job,BPA,yes,Journals,salary,gentle,Management,yes,no
7.788888888888889,6,2,2,4,no,yes,information security,excellent,medium,programming,security,job,Product based,yes,Mystery,Work,stubborn,Technical,yes,no
7.4,2,6,9,3,no,no,machine learning,medium,poor,parallel computing,Business process analyst,job,Testing and Maintainance Services,yes,Fantasy,salary,stubborn,Management,no,no
7.955555555555556,4,3,5,7,yes,yes,shell programming,excellent,poor,Computer Architecture,developer,job,Cloud Services,yes,Self help,salary,gentle,Technical,no,no
7.6,6,2,8,7,yes,yes,r programming,poor,poor,programming,Business process analyst,job,Finance,yes,Fantasy,salary,stubborn,Technical,yes,no
7.588888888888889,3,5,9,5,yes,no,information security,poor,medium,networks,testing,higherstudies,Finance,no,Journals,Work,stubborn,Management,yes,no
7.333333333333333,1,4,3,2,yes,no,shell programming,medium,poor,IOT,testing,job,Service Based,yes,Horror,salary,gentle,Technical,no,yes
7.644444444444444,5,2,3,7,yes,no,python,excellent,medium,cloud computing,developer,job,BPA,yes,Action and Adventure,salary,gentle,Technical,yes,no
7.944444444444445,4,5,3,1,yes,yes,full stack,excellent,medium,IOT,testing,higherstudies,Sales and Marketing,no,Cookbooks,Work,gentle,Management,yes,no
7.855555555555556,6,3,6,1,no,yes,machine learning,medium,excellent,Software Engineering,developer,higherstudies,Cloud Services,no,Guide,Work,gentle,Technical,no,no
8.222222222222223,1,6,8,1,yes,no,shell programming,poor,excellent,data engineering,Business process analyst,higherstudies,Web Services,yes,Poetry,salary,gentle,Technical,no,no
7.666666666666667,3,6,9,3,yes,no,python,excellent,medium,Computer Architecture,Business process analyst,higherstudies,Finance,no,Satire,Work,gentle,Management,yes,yes
7.122222222222223,5,4,1,9,no,yes,app development,poor,medium,networks,system developer,job,Service Based,yes,Science fiction,salary,gentle,Management,yes,yes
7.977777777777777,6,0,7,4,no,yes,machine learning,medium,medium,data engineering,testing,job,product development,yes,Health,salary,stubborn,Technical,yes,no
8.322222222222223,4,4,1,5,yes,yes,shell programming,excellent,medium,hacking,Business process analyst,job,Service Based,no,Horror,salary,stubborn,Technical,yes,no
7.1,8,1,7,7,no,no,r programming,excellent,medium,Computer Architecture,Business process analyst,higherstudies,product development,no,Autobiographies,Work,gentle,Technical,no,yes
7.366666666666667,6,1,9,2,yes,no,python,medium,poor,Computer Architecture,testing,job,SAaS services,no,Comics,Work,stubborn,Technical,no,yes
8.055555555555555,5,2,5,5,no,no,machine learning,poor,excellent,data engineering,system developer,higherstudies,Product based,no,Series,Work,stubborn,Management,no,no
7.611111111111112,6,2,2,6,yes,no,hadoop,medium,medium,Software Engineering,Business process analyst,job,Cloud Services,no,Comics,Work,stubborn,Technical,no,yes
7.166666666666667,8,6,9,5,no,no,app development,poor,poor,cloud computing,cloud computing,higherstudies,Finance,no,Satire,salary,stubborn,Technical,yes,no
7.633333333333333,5,4,3,1,no,yes,r programming,poor,poor,parallel computing,security,job,Cloud Services,yes,Math,Work,gentle,Technical,no,yes
7.444444444444445,4,0,9,1,yes,no,app development,poor,medium,hacking,system developer,job,Cloud Services,no,Action and Adventure,Work,stubborn,Technical,no,yes
7.777777777777777,8,6,9,7,no,no,r programming,poor,poor,Management,testing,higherstudies,product development,no,Biographies,salary,stubborn,Technical,no,yes
7.2,3,4,8,2,no,yes,full stack,medium,excellent,Management,testing,higherstudies,Product based,yes,Fantasy,Work,gentle,Technical,yes,no
7.622222222222223,5,1,6,4,no,no,information security,medium,medium,data engineering,security,higherstudies,SAaS services,no,Diaries,Work,gentle,Technical,yes,yes
7.844444444444444,5,1,5,5,no,no,full stack,poor,medium,Computer Architecture,Business process analyst,higherstudies,Cloud Services,yes,Comics,salary,gentle,Management,no,yes
7.933333333333333,1,1,2,1,no,yes,app development,poor,poor,programming,testing,job,Finance,no,Romance,Work,gentle,Technical,yes,yes
8.211111111111112,5,6,4,2,yes,no,hadoop,poor,excellent,Computer Architecture,developer,higherstudies,Cloud Services,yes,Religion-Spirituality,salary,gentle,Management,no,yes
7.322222222222223,9,1,6,4,yes,no,information security,excellent,medium,Computer Architecture,testing,job,BPA,no,Dictionaries,Work,stubborn,Technical,yes,no
7.677777777777777,7,3,1,3,yes,no,information security,poor,poor,Computer Architecture,developer,job,product development,yes,Prayer books,salary,gentle,Technical,yes,no
7.633333333333333,3,2,5,4,no,no,app development,excellent,medium,networks,testing,higherstudies,Cloud Services,yes,Prayer books,salary,stubborn,Management,yes,no
7.611111111111112,6,3,6,5,no,yes,distro making,poor,medium,Software Engineering,cloud computing,job,Testing and Maintainance Services,yes,Health,salary,stubborn,Management,no,no
7.555555555555555,3,3,9,7,no,no,r programming,poor,poor,Software Engineering,system developer,job,product development,no,Science,salary,gentle,Management,yes,no
7.566666666666667,7,1,7,8,yes,no,python,medium,poor,data engineering,Business process analyst,job,BPA,no,Religion-Spirituality,salary,gentle,Management,yes,no
7.7,4,0,9,4,yes,no,shell programming,excellent,poor,Software Engineering,developer,job,Testing and Maintainance Services,no,Diaries,Work,stubborn,Management,yes,yes
7.988888888888889,9,3,4,4,yes,no,full stack,poor,poor,IOT,testing,higherstudies,SAaS services,no,Series,salary,stubborn,Technical,yes,no
7.4,2,0,3,2,yes,yes,machine learning,poor,poor,programming,cloud computing,job,Testing and Maintainance Services,yes,Poetry,salary,stubborn,Technical,no,no
7.211111111111111,2,2,1,6,yes,yes,information security,medium,excellent,parallel computing,security,job,Service Based,no,Childrens,Work,stubborn,Management,no,yes
7.177777777777777,2,0,9,7,yes,no,shell programming,excellent,poor,hacking,testing,higherstudies,Finance,no,Drama,Work,gentle,Technical,no,no
7.622222222222223,1,1,3,1,no,no,information security,excellent,excellent,parallel computing,testing,job,Sales and Marketing,no,Poetry,salary,gentle,Management,no,yes
7.7666666666666675,7,1,8,7,no,yes,full stack,poor,poor,networks,developer,higherstudies,Finance,no,Math,salary,gentle,Management,yes,yes
7.511111111111111,2,5,5,5,no,yes,distro making,excellent,excellent,data engineering,security,job,Web Services,yes,Series,Work,gentle,Management,yes,yes
7.7444444444444445,6,0,2,9,yes,yes,r programming,medium,poor,hacking,developer,higherstudies,Web Services,yes,Health,salary,gentle,Management,yes,yes
7.511111111111111,3,2,9,7,no,yes,full stack,poor,medium,networks,developer,higherstudies,Finance,yes,Science fiction,Work,gentle,Technical,no,no
7.7333333333333325,7,1,8,2,yes,no,app development,poor,medium,cloud computing,cloud computing,higherstudies,Testing and Maintainance Services,yes,Travel,salary,stubborn,Technical,yes,no
7.633333333333333,2,4,8,9,no,no,r programming,poor,excellent,Management,system developer,higherstudies,Cloud Services,yes,Prayer books,salary,gentle,Technical,no,yes
7.9,9,1,9,9,yes,yes,app development,excellent,excellent,networks,Business process analyst,job,Sales and Marketing,yes,Romance,Work,gentle,Technical,no,yes
7.966666666666667,5,4,1,5,yes,yes,distro making,excellent,excellent,data engineering,testing,higherstudies,Service Based,yes,Self help,salary,stubborn,Management,no,no
7.866666666666667,5,1,8,9,yes,yes,python,poor,excellent,networks,testing,job,Testing and Maintainance Services,yes,Travel,Work,gentle,Technical,yes,yes
7.622222222222223,5,3,8,9,yes,yes,machine learning,poor,excellent,IOT,system developer,higherstudies,Cloud Services,no,Trilogy,Work,gentle,Technical,yes,yes
7.988888888888889,8,0,5,9,no,no,full stack,medium,medium,data engineering,security,job,SAaS services,no,Satire,salary,gentle,Technical,yes,yes
7.855555555555556,8,0,2,1,no,yes,app development,medium,medium,IOT,testing,job,Product based,yes,Drama,salary,gentle,Technical,no,yes
7.666666666666667,9,3,8,2,no,yes,python,poor,excellent,data engineering,testing,higherstudies,Finance,no,Self help,salary,stubborn,Management,no,yes
7.2444444444444445,6,2,1,7,yes,yes,full stack,poor,excellent,data engineering,Business process analyst,job,Web Services,no,Poetry,Work,stubborn,Management,no,no
7.5777777777777775,2,0,9,7,yes,yes,information security,excellent,poor,Computer Architecture,developer,higherstudies,Web Services,no,Self help,salary,gentle,Management,yes,no
6.877777777777777,7,5,9,5,no,yes,full stack,excellent,excellent,Management,testing,higherstudies,Service Based,yes,Guide,salary,stubborn,Technical,no,no
7.666666666666667,2,1,5,2,no,yes,full stack,medium,poor,Software Engineering,Business process analyst,job,SAaS services,no,Prayer books,Work,gentle,Technical,no,yes
7.333333333333333,6,2,8,9,yes,no,python,medium,medium,Management,testing,higherstudies,SAaS services,no,Dictionaries,salary,gentle,Technical,yes,yes
7.488888888888889,3,6,4,5,no,yes,shell programming,poor,medium,networks,system developer,higherstudies,Service Based,no,Diaries,Work,gentle,Technical,yes,no
7.844444444444444,5,0,9,3,no,no,distro making,medium,excellent,networks,developer,job,Product based,yes,Health,salary,stubborn,Technical,yes,yes
8.044444444444444,8,6,8,1,yes,yes,r programming,medium,poor,hacking,Business process analyst,job,Web Services,yes,Self help,Work,stubborn,Technical,yes,yes
7.477777777777777,8,3,2,7,no,no,r programming,poor,poor,Computer Architecture,developer,higherstudies,Cloud Services,no,Encyclopedias,salary,gentle,Management,no,no
7.7555555555555555,8,1,5,6,yes,no,machine learning,poor,poor,Management,testing,job,Finance,yes,Cookbooks,salary,gentle,Technical,no,no
7.177777777777777,8,3,1,9,yes,yes,shell programming,poor,medium,Management,testing,job,Testing and Maintainance Services,no,Self help,Work,gentle,Technical,yes,no
8.033333333333333,5,2,4,3,yes,yes,app development,poor,poor,Computer Architecture,developer,higherstudies,product development,no,Prayer books,Work,stubborn,Technical,no,yes
8.044444444444444,5,5,2,9,no,yes,full stack,excellent,poor,Software Engineering,testing,job,Web Services,no,Encyclopedias,Work,stubborn,Management,yes,yes
7.866666666666667,7,5,8,8,yes,no,app development,poor,excellent,programming,security,job,Web Services,yes,Comics,salary,stubborn,Management,no,yes
7.177777777777777,2,2,8,3,no,no,r programming,excellent,medium,hacking,cloud computing,higherstudies,Service Based,no,Horror,salary,stubborn,Management,no,no
7.7666666666666675,2,0,4,5,no,no,r programming,excellent,excellent,networks,developer,job,product development,no,Fantasy,Work,stubborn,Technical,yes,yes
7.588888888888889,5,1,9,5,yes,no,machine learning,excellent,medium,parallel computing,developer,job,Sales and Marketing,yes,Drama,Work,gentle,Management,yes,no
7.2444444444444445,5,3,2,2,yes,no,hadoop,medium,medium,parallel computing,system developer,job,SAaS services,no,Religion-Spirituality,Work,stubborn,Technical,yes,no
7.8,4,5,8,8,yes,no,r programming,poor,poor,parallel computing,system developer,higherstudies,BPA,no,Science fiction,Work,gentle,Technical,yes,no
8.2,2,1,3,2,yes,no,r programming,medium,excellent,Computer Architecture,Business process analyst,job,product development,no,Guide,Work,gentle,Technical,yes,no
7.122222222222223,9,5,7,1,yes,yes,hadoop,excellent,medium,cloud computing,Business process analyst,higherstudies,Testing and Maintainance Services,no,Health,salary,gentle,Management,yes,no
7.2333333333333325,1,0,2,9,yes,no,machine learning,poor,excellent,Software Engineering,cloud computing,higherstudies,Finance,no,Biographies,salary,gentle,Management,no,yes
7.4,5,1,8,5,no,no,full stack,excellent,medium,Software Engineering,testing,job,Product based,no,History,salary,stubborn,Technical,yes,yes
7.888888888888888,6,2,6,3,no,yes,machine learning,medium,medium,IOT,security,higherstudies,product development,yes,Self help,salary,stubborn,Management,yes,no
8.077777777777778,1,1,8,1,no,no,machine learning,medium,poor,hacking,cloud computing,job,Sales and Marketing,no,Dictionaries,Work,gentle,Management,yes,no
7.7555555555555555,8,6,7,4,no,no,shell programming,excellent,poor,cloud computing,system developer,higherstudies,Finance,no,History,salary,gentle,Technical,yes,no
7.611111111111112,3,2,4,3,yes,no,r programming,excellent,poor,IOT,security,job,Testing and Maintainance Services,yes,Prayer books,Work,gentle,Technical,yes,no
7.855555555555556,4,0,8,7,no,yes,full stack,poor,poor,Management,developer,higherstudies,product development,no,Journals,Work,gentle,Management,no,yes
7.622222222222223,6,6,4,9,no,no,python,excellent,poor,data engineering,developer,job,Finance,yes,Prayer books,Work,gentle,Technical,yes,no
8.2,2,2,2,7,yes,yes,shell programming,excellent,medium,Computer Architecture,cloud computing,job,Finance,no,Self help,Work,gentle,Management,yes,no
7.9222222222222225,2,1,3,7,yes,yes,machine learning,medium,excellent,programming,cloud computing,higherstudies,Sales and Marketing,yes,Anthology,salary,stubborn,Management,no,no
8.177777777777777,5,3,3,6,no,yes,machine learning,excellent,medium,IOT,cloud computing,job,Finance,no,Romance,salary,stubborn,Technical,no,yes
7.4,4,4,7,3,no,yes,python,medium,poor,hacking,system developer,job,Sales and Marketing,no,Fantasy,Work,stubborn,Technical,yes,no
7.5,7,5,6,4,no,yes,python,medium,medium,Management,Business process analyst,higherstudies,product development,yes,Art,salary,gentle,Management,yes,no
8.4,9,2,9,7,no,yes,app development,medium,poor,Software Engineering,testing,job,Product based,yes,Action and Adventure,Work,gentle,Technical,yes,no
7.7555555555555555,8,5,6,9,no,no,app development,medium,poor,Software Engineering,testing,job,BPA,yes,Horror,salary,stubborn,Management,yes,yes
7.511111111111111,6,1,8,4,yes,no,machine learning,excellent,excellent,cloud computing,security,job,Finance,no,Anthology,salary,gentle,Management,no,no
7.666666666666667,2,5,4,5,no,yes,distro making,poor,excellent,programming,security,job,Cloud Services,no,Guide,Work,stubborn,Management,no,yes
7.688888888888888,5,0,7,3,no,yes,distro making,poor,poor,cloud computing,testing,higherstudies,Service Based,yes,Diaries,Work,gentle,Management,no,no
7.5,4,6,4,8,yes,no,shell programming,medium,poor,Software Engineering,developer,higherstudies,Testing and Maintainance Services,no,Series,Work,stubborn,Technical,no,yes
7.4222222222222225,8,1,3,6,no,yes,information security,medium,excellent,cloud computing,testing,job,Testing and Maintainance Services,no,Cookbooks,Work,stubborn,Management,no,yes
7.977777777777777,8,5,2,3,yes,no,full stack,medium,poor,IOT,cloud computing,higherstudies,BPA,yes,Fantasy,salary,stubborn,Management,no,no
8.011111111111111,5,3,4,2,yes,no,shell programming,poor,excellent,cloud computing,system developer,job,Product based,no,Poetry,Work,stubborn,Technical,yes,yes
7.9,9,0,2,1,no,yes,r programming,poor,poor,cloud computing,cloud computing,job,SAaS services,no,Health,Work,gentle,Management,yes,no
7.866666666666667,7,2,3,3,no,no,information security,excellent,excellent,Software Engineering,developer,job,Service Based,yes,Self help,Work,gentle,Management,yes,no
8.377777777777776,3,4,4,8,yes,yes,python,poor,poor,Software Engineering,testing,higherstudies,Product based,yes,Dictionaries,salary,gentle,Management,yes,no
7.0,4,2,1,5,no,no,hadoop,excellent,medium,hacking,developer,higherstudies,Cloud Services,yes,History,salary,stubborn,Management,yes,no
8.2,3,2,1,1,no,no,information security,poor,poor,hacking,system developer,higherstudies,Testing and Maintainance Services,yes,Poetry,salary,stubborn,Technical,yes,yes
7.2666666666666675,3,5,6,3,no,no,information security,medium,medium,data engineering,developer,higherstudies,Sales and Marketing,no,Math,salary,stubborn,Management,no,no
7.366666666666667,1,5,1,7,no,no,r programming,poor,poor,cloud computing,cloud computing,job,Web Services,no,Dictionaries,Work,stubborn,Management,no,no
7.944444444444445,3,0,3,5,yes,yes,hadoop,poor,medium,parallel computing,system developer,job,Cloud Services,yes,Autobiographies,salary,stubborn,Technical,yes,no
7.7444444444444445,7,1,2,6,no,no,shell programming,excellent,medium,IOT,system developer,job,Web Services,yes,Fantasy,salary,gentle,Technical,no,yes
